Curriculum,Stage,Condition,Seed,Train Groups,data_id,transformation,Iteration
rnd,2,default,113,na,rnd_113_default,0.6821378340365682,60000
dev,2,default,112,g0g1,dev_112_default,0.6912798874824191,60000
adult,0,default,112,na,adult_112_default,0.4008438818565401,0
dev,1,default,112,g0,dev_112_default,0.6329113924050633,30000
adev,0,default,111,,adev_111_default,0.45218002812939523,0
adev,1,default,112,g2,adev_112_default,0.4929676511954993,30000
adult,1,default,113,na,adult_113_default,0.6322081575246132,30000
dev,3,default,111,g0g1g2,dev_111_default,0.7320675105485233,90000
adult,3,default,112,na,adult_112_default,0.7137834036568214,90000
dev,3,default,112,g0g1g2,dev_112_default,0.7271448663853727,90000
adult,0,default,111,na,adult_111_default,0.43248945147679324,0
adult,2,default,113,na,adult_113_default,0.6856540084388185,60000
dev,2,default,113,g0g1,dev_113_default,0.7046413502109705,60000
adev,0,default,113,,adev_113_default,0.42967651195499296,0
rnd,1,default,113,na,rnd_113_default,0.6167369901547117,30000
dev,0,default,112,,dev_112_default,0.41983122362869196,0
rnd,0,default,112,na,rnd_112_default,0.4029535864978903,0
adev,3,default,113,g2g1g0,adev_113_default,0.6772151898734177,90000
adult,1,default,112,na,adult_112_default,0.5569620253164557,30000
dev,0,default,113,,dev_113_default,0.4381153305203938,0
adult,2,default,112,na,adult_112_default,0.6694796061884669,60000
adev,3,default,112,g2g1g0,adev_112_default,0.6947960618846695,90000
rnd,1,default,111,na,rnd_111_default,0.5668073136427567,30000
dev,3,default,113,g0g1g2,dev_113_default,0.7383966244725738,90000
rnd,2,default,112,na,rnd_112_default,0.6821378340365682,60000
adev,0,default,112,,adev_112_default,0.43670886075949367,0
adult,1,default,111,na,adult_111_default,0.539381153305204,30000
dev,0,default,111,,dev_111_default,0.46272855133614627,0
rnd,1,default,112,na,rnd_112_default,0.6040787623066104,30000
adult,3,default,111,na,adult_111_default,0.7046413502109705,90000
dev,2,default,111,g0g1,dev_111_default,0.7137834036568214,60000
rnd,3,default,113,na,rnd_113_default,0.7151898734177216,90000
adev,1,default,111,g2,adev_111_default,0.43037974683544306,30000
rnd,3,default,112,na,rnd_112_default,0.7060478199718706,90000
rnd,2,default,111,na,rnd_111_default,0.6603375527426161,60000
adev,3,default,111,g2g1g0,adev_111_default,0.6933895921237694,90000
adult,0,default,113,na,adult_113_default,0.4219409282700422,0
adev,1,default,113,g2,adev_113_default,0.47749648382559773,30000
adult,3,default,113,na,adult_113_default,0.7165963431786216,90000
dev,1,default,111,g0,dev_111_default,0.6181434599156118,30000
adev,2,default,112,g2g1,adev_112_default,0.6666666666666666,60000
adev,2,default,113,g2g1,adev_113_default,0.6476793248945147,60000
adev,2,default,111,g2g1,adev_111_default,0.6547116736990155,60000
rnd,0,default,113,na,rnd_113_default,0.44022503516174405,0
dev,1,default,113,g0,dev_113_default,0.6336146272855133,30000
adult,2,default,111,na,adult_111_default,0.6561181434599156,60000
rnd,3,default,111,na,rnd_111_default,0.7187060478199718,90000
rnd,0,default,111,na,rnd_111_default,0.4381153305203938,0
