Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
rnd,2,default,113,na,rnd_113_default,0.5080312069756769,60000
dev,2,default,112,g0g1,dev_112_default,0.537932615173046,60000
adult,0,default,112,na,adult_112_default,0.1610091743119266,0
dev,1,default,112,g0,dev_112_default,0.5038972948188905,30000
adev,0,default,111,,adev_111_default,0.1711340206185567,0
adev,1,default,112,g2,adev_112_default,0.29577787976135844,30000
adult,1,default,113,na,adult_113_default,0.48325688073394496,30000
dev,3,default,111,g0g1g2,dev_111_default,0.5656658262663306,90000
adult,3,default,112,na,adult_112_default,0.5377380133058041,90000
dev,3,default,112,g0g1g2,dev_112_default,0.5620840027541887,90000
adult,0,default,111,na,adult_111_default,0.1514665444546288,0
adult,2,default,113,na,adult_113_default,0.5319100091827365,60000
dev,2,default,113,g0g1,dev_113_default,0.5467889908256881,60000
adev,0,default,113,,adev_113_default,0.16131252868288207,0
rnd,1,default,113,na,rnd_113_default,0.3962393946342582,30000
dev,0,default,112,,dev_112_default,0.1649058337161231,0
rnd,0,default,112,na,rnd_112_default,0.15525953146531923,0
adev,3,default,113,g2g1g0,adev_113_default,0.554233409610984,90000
adult,1,default,112,na,adult_112_default,0.36826415959642284,30000
dev,0,default,113,,dev_113_default,0.16154903758020164,0
adult,2,default,112,na,adult_112_default,0.5293577981651376,60000
adev,3,default,112,g2g1g0,adev_112_default,0.5605504587155963,90000
rnd,1,default,111,na,rnd_111_default,0.3566193311956024,30000
dev,3,default,113,g0g1g2,dev_113_default,0.5635029802842733,90000
rnd,2,default,112,na,rnd_112_default,0.5225762090304836,60000
adev,0,default,112,,adev_112_default,0.16433325682809272,0
adult,1,default,111,na,adult_111_default,0.3589273435709374,30000
dev,0,default,111,,dev_111_default,0.15732659623334863,0
rnd,1,default,112,na,rnd_112_default,0.4077981651376147,30000
adult,3,default,111,na,adult_111_default,0.5581288695253382,90000
dev,2,default,111,g0g1,dev_111_default,0.5268940260929275,60000
rnd,3,default,113,na,rnd_113_default,0.5373339441136051,90000
adev,1,default,111,g2,adev_111_default,0.16334478808705613,30000
rnd,3,default,112,na,rnd_112_default,0.5523722209488884,90000
rnd,2,default,111,na,rnd_111_default,0.49965588437715075,60000
adev,3,default,111,g2g1g0,adev_111_default,0.5217490842490843,90000
adult,0,default,113,na,adult_113_default,0.15615684476037606,0
adev,1,default,113,g2,adev_113_default,0.16552040348464006,30000
adult,3,default,113,na,adult_113_default,0.5659945004582951,90000
dev,1,default,111,g0,dev_111_default,0.4987382427162193,30000
adev,2,default,112,g2g1,adev_112_default,0.49116769901353524,60000
adev,2,default,113,g2g1,adev_113_default,0.4862005519779209,60000
adev,2,default,111,g2g1,adev_111_default,0.43738532110091743,60000
rnd,0,default,113,na,rnd_113_default,0.15578465063001146,0
dev,1,default,113,g0,dev_113_default,0.508598945196056,30000
adult,2,default,111,na,adult_111_default,0.5137741046831956,60000
rnd,3,default,111,na,rnd_111_default,0.5445794178317671,90000
rnd,0,default,111,na,rnd_111_default,0.15736505032021958,0
