Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
dev,2,default,111,g0g1,dev_111_default,0.22848484848484849,20000
dev,0,default,113,,dev_113_default,0.1984848484848485,0
adev,0,default,111,,adev_111_default,0.18545454545454546,0
dev,1,default,113,g0,dev_113_default,0.23515151515151514,10000
dev,3,default,111,g0g1g2,dev_111_default,0.23757575757575758,30000
dev,2,default,112,g0g1,dev_112_default,0.21878787878787878,20000
dev,3,default,112,g0g1g2,dev_112_default,0.2309090909090909,30000
dev,0,default,112,,dev_112_default,0.18727272727272729,0
adev,1,default,113,g2,adev_113_default,0.21606060606060606,10000
adev,3,default,113,g2g1g0,adev_113_default,0.23545454545454544,30000
adev,1,default,112,g2,adev_112_default,0.22727272727272727,10000
adev,0,default,113,,adev_113_default,0.21818181818181817,0
adev,3,default,112,g2g1g0,adev_112_default,0.22757575757575757,30000
adev,2,default,112,g2g1,adev_112_default,0.2296969696969697,20000
dev,3,default,113,g0g1g2,dev_113_default,0.23484848484848486,30000
adev,1,default,111,g2,adev_111_default,0.23757575757575758,10000
dev,0,default,111,,dev_111_default,0.18454545454545454,0
adev,2,default,113,g2g1,adev_113_default,0.23787878787878788,20000
adev,2,default,111,g2g1,adev_111_default,0.2406060606060606,20000
dev,2,default,113,g0g1,dev_113_default,0.23333333333333334,20000
dev,1,default,112,g0,dev_112_default,0.23636363636363636,10000
adev,3,default,111,g2g1g0,adev_111_default,0.21727272727272728,30000
adev,0,default,112,,adev_112_default,0.17363636363636364,0
dev,1,default,111,g0,dev_111_default,0.22363636363636363,10000
