Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
adev,0,default,174,,adev_174_default,0.25828493337888625,0
adev,1,default,176,g2,adev_176_default,0.40245183887915936,1500
dev,1,default,174,g0,dev_174_default,0.41643356643356644,1500
dev,2,default,174,g0g1,dev_174_default,0.41855598186257414,3000
adev,0,default,175,,adev_175_default,0.29143454038997213,0
adev,3,default,176,g2g1g0,adev_176_default,0.40462833099579243,4500
adev,2,default,176,g2g1,adev_176_default,0.3990905911157748,3000
dev,1,default,176,g0,dev_176_default,0.411744145403705,1500
adev,3,default,174,g2g1g0,adev_174_default,0.4007660167130919,4500
dev,3,default,176,g0g1g2,dev_176_default,0.4487583071003847,4500
adev,2,default,175,g2g1,adev_175_default,0.39038933707471063,3000
adev,2,default,174,g2g1,adev_174_default,0.38456140350877194,3000
adev,1,default,175,g2,adev_175_default,0.3555013927576602,1500
dev,0,default,176,,dev_176_default,0.2888578414250786,0
dev,3,default,175,g0g1g2,dev_175_default,0.42239274502964774,4500
dev,0,default,175,,dev_175_default,0.30995792426367463,0
dev,3,default,174,g0g1g2,dev_174_default,0.42377622377622376,4500
adev,3,default,175,g2g1g0,adev_175_default,0.4125262421273618,4500
adev,0,default,176,,adev_176_default,0.29389044943820225,0
dev,2,default,175,g0g1,dev_175_default,0.39769553072625696,3000
dev,1,default,175,g0,dev_175_default,0.3840529247910863,1500
dev,0,default,174,,dev_174_default,0.2953674677812609,0
adev,1,default,174,g2,adev_174_default,0.38469601677148846,1500
dev,2,default,176,g0g1,dev_176_default,0.3894516241704506,3000
