Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
dev,3,MatchedTemporal,315,g0g1g2,dev_315_MatchedTemporal,0.30393939393939395,30000
adev,2,MatchedSpatial,317,g2g1,adev_317_MatchedSpatial,0.4003030303030303,20000
adev,1,MatchedSpatioTemporal,317,g2,adev_317_MatchedSpatioTemporal,0.2866666666666667,10000
adev,2,default,316,g2g1,adev_316_default,0.2578787878787879,20000
adev,1,MatchedSpatial,315,g2,adev_315_MatchedSpatial,0.29454545454545455,10000
adev,2,MatchedTemporal,315,g2g1,adev_315_MatchedTemporal,0.29,20000
dev,2,default,317,g0g1,dev_317_default,0.4390909090909091,20000
dev,2,MatchedSpatioTemporal,316,g0g1,dev_316_MatchedSpatioTemporal,0.2993939393939394,20000
adev,3,default,316,g2g1g0,adev_316_default,0.393030303030303,30000
adev,2,MatchedSpatioTemporal,316,g2g1,adev_316_MatchedSpatioTemporal,0.2806060606060606,20000
dev,3,MatchedSpatial,316,g0g1g2,dev_316_MatchedSpatial,0.5072727272727273,30000
adev,2,MatchedSpatial,316,g2g1,adev_316_MatchedSpatial,0.23212121212121212,20000
dev,1,MatchedSpatial,317,g0,dev_317_MatchedSpatial,0.34545454545454546,10000
dev,1,MatchedSpatioTemporal,316,g0,dev_316_MatchedSpatioTemporal,0.2706060606060606,10000
dev,3,default,317,g0g1g2,dev_317_default,0.46636363636363637,30000
dev,1,MatchedSpatial,316,g0,dev_316_MatchedSpatial,0.40636363636363637,10000
adev,1,default,315,g2,adev_315_default,0.21666666666666667,10000
adev,2,MatchedTemporal,316,g2g1,adev_316_MatchedTemporal,0.25696969696969696,20000
adev,2,MatchedTemporal,317,g2g1,adev_317_MatchedTemporal,0.2872727272727273,20000
adev,1,MatchedTemporal,317,g2,adev_317_MatchedTemporal,0.26484848484848483,10000
adev,3,MatchedTemporal,315,g2g1g0,adev_315_MatchedTemporal,0.27454545454545454,30000
adev,1,default,317,g2,adev_317_default,0.2587878787878788,10000
dev,3,MatchedSpatial,317,g0g1g2,dev_317_MatchedSpatial,0.49272727272727274,30000
adev,1,default,316,g2,adev_316_default,0.2675757575757576,10000
dev,2,MatchedTemporal,316,g0g1,dev_316_MatchedTemporal,0.2781818181818182,20000
adev,2,default,317,g2g1,adev_317_default,0.27424242424242423,20000
dev,3,default,316,g0g1g2,dev_316_default,0.47545454545454546,30000
adev,3,MatchedTemporal,316,g2g1g0,adev_316_MatchedTemporal,0.2790909090909091,30000
dev,3,MatchedTemporal,316,g0g1g2,dev_316_MatchedTemporal,0.28393939393939394,30000
adev,3,MatchedSpatioTemporal,317,g2g1g0,adev_317_MatchedSpatioTemporal,0.2806060606060606,30000
dev,2,MatchedSpatioTemporal,317,g0g1,dev_317_MatchedSpatioTemporal,0.29333333333333333,20000
dev,2,MatchedSpatial,315,g0g1,dev_315_MatchedSpatial,0.4587878787878788,20000
dev,3,MatchedSpatioTemporal,315,g0g1g2,dev_315_MatchedSpatioTemporal,0.3021212121212121,30000
dev,2,default,316,g0g1,dev_316_default,0.45545454545454545,20000
dev,3,MatchedSpatioTemporal,316,g0g1g2,dev_316_MatchedSpatioTemporal,0.2781818181818182,30000
adev,3,default,315,g2g1g0,adev_315_default,0.3527272727272727,30000
adev,2,default,315,g2g1,adev_315_default,0.2221212121212121,20000
adev,3,MatchedSpatial,317,g2g1g0,adev_317_MatchedSpatial,0.41848484848484846,30000
dev,2,MatchedSpatial,316,g0g1,dev_316_MatchedSpatial,0.46545454545454545,20000
dev,2,MatchedSpatioTemporal,315,g0g1,dev_315_MatchedSpatioTemporal,0.2903030303030303,20000
adev,2,MatchedSpatioTemporal,317,g2g1,adev_317_MatchedSpatioTemporal,0.2878787878787879,20000
adev,2,MatchedSpatioTemporal,315,g2g1,adev_315_MatchedSpatioTemporal,0.2824242424242424,20000
dev,1,default,317,g0,dev_317_default,0.35424242424242425,10000
dev,1,MatchedSpatioTemporal,315,g0,dev_315_MatchedSpatioTemporal,0.24818181818181817,10000
adev,1,MatchedTemporal,315,g2,adev_315_MatchedTemporal,0.2578787878787879,10000
adev,3,MatchedSpatioTemporal,316,g2g1g0,adev_316_MatchedSpatioTemporal,0.2966666666666667,30000
dev,3,MatchedTemporal,317,g0g1g2,dev_317_MatchedTemporal,0.2918181818181818,30000
adev,3,MatchedTemporal,317,g2g1g0,adev_317_MatchedTemporal,0.2778787878787879,30000
dev,2,MatchedTemporal,315,g0g1,dev_315_MatchedTemporal,0.2806060606060606,20000
adev,1,MatchedSpatial,316,g2,adev_316_MatchedSpatial,0.27454545454545454,10000
adev,3,default,317,g2g1g0,adev_317_default,0.10848484848484849,30000
dev,1,MatchedSpatioTemporal,317,g0,dev_317_MatchedSpatioTemporal,0.2578787878787879,10000
dev,1,default,315,g0,dev_315_default,0.35333333333333333,10000
dev,1,default,316,g0,dev_316_default,0.3687878787878788,10000
adev,3,MatchedSpatial,315,g2g1g0,adev_315_MatchedSpatial,0.44242424242424244,30000
dev,1,MatchedTemporal,315,g0,dev_315_MatchedTemporal,0.28424242424242424,10000
dev,1,MatchedTemporal,316,g0,dev_316_MatchedTemporal,0.27151515151515154,10000
dev,3,default,315,g0g1g2,dev_315_default,0.486969696969697,30000
dev,3,MatchedSpatioTemporal,317,g0g1g2,dev_317_MatchedSpatioTemporal,0.29393939393939394,30000
adev,2,MatchedSpatial,315,g2g1,adev_315_MatchedSpatial,0.4354545454545454,20000
adev,1,MatchedTemporal,316,g2,adev_316_MatchedTemporal,0.2578787878787879,10000
adev,1,MatchedSpatioTemporal,316,g2,adev_316_MatchedSpatioTemporal,0.2581818181818182,10000
dev,2,default,315,g0g1,dev_315_default,0.45545454545454545,20000
dev,2,MatchedTemporal,317,g0g1,dev_317_MatchedTemporal,0.2884848484848485,20000
dev,1,MatchedTemporal,317,g0,dev_317_MatchedTemporal,0.2684848484848485,10000
adev,3,MatchedSpatial,316,g2g1g0,adev_316_MatchedSpatial,0.37606060606060604,30000
adev,1,MatchedSpatioTemporal,315,g2,adev_315_MatchedSpatioTemporal,0.26545454545454544,10000
adev,3,MatchedSpatioTemporal,315,g2g1g0,adev_315_MatchedSpatioTemporal,0.2903030303030303,30000
dev,2,MatchedSpatial,317,g0g1,dev_317_MatchedSpatial,0.4509090909090909,20000
adev,1,MatchedSpatial,317,g2,adev_317_MatchedSpatial,0.20272727272727273,10000
dev,3,MatchedSpatial,315,g0g1g2,dev_315_MatchedSpatial,0.4860606060606061,30000
dev,1,MatchedSpatial,315,g0,dev_315_MatchedSpatial,0.3715151515151515,10000
