Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
dev,3,MatchedTemporal,315,g0g1g2,dev_315_MatchedTemporal,0.4029535864978903,30000
adev,2,MatchedSpatial,317,g2g1,adev_317_MatchedSpatial,0.379746835443038,20000
adev,1,MatchedSpatioTemporal,317,g2,adev_317_MatchedSpatioTemporal,0.3748241912798875,10000
adev,2,default,316,g2g1,adev_316_default,0.26019690576652604,20000
adev,1,MatchedSpatial,315,g2,adev_315_MatchedSpatial,0.33544303797468356,10000
adev,2,MatchedTemporal,315,g2g1,adev_315_MatchedTemporal,0.39029535864978904,20000
dev,2,default,317,g0g1,dev_317_default,0.40646976090014064,20000
dev,2,MatchedSpatioTemporal,316,g0g1,dev_316_MatchedSpatioTemporal,0.41139240506329117,20000
adev,3,default,316,g2g1g0,adev_316_default,0.42053445850914206,30000
adev,2,MatchedSpatioTemporal,316,g2g1,adev_316_MatchedSpatioTemporal,0.4149085794655415,20000
dev,3,MatchedSpatial,316,g0g1g2,dev_316_MatchedSpatial,0.43952180028129395,30000
adev,2,MatchedSpatial,316,g2g1,adev_316_MatchedSpatial,0.23066104078762306,20000
dev,1,MatchedSpatial,317,g0,dev_317_MatchedSpatial,0.37834036568213786,10000
dev,1,MatchedSpatioTemporal,316,g0,dev_316_MatchedSpatioTemporal,0.4078762306610408,10000
dev,3,default,317,g0g1g2,dev_317_default,0.39451476793248946,30000
dev,1,MatchedSpatial,316,g0,dev_316_MatchedSpatial,0.4050632911392405,10000
adev,1,default,315,g2,adev_315_default,0.2911392405063291,10000
adev,2,MatchedTemporal,316,g2g1,adev_316_MatchedTemporal,0.40717299578059074,20000
adev,2,MatchedTemporal,317,g2g1,adev_317_MatchedTemporal,0.3860759493670886,20000
adev,1,MatchedTemporal,317,g2,adev_317_MatchedTemporal,0.3621659634317862,10000
adev,3,MatchedTemporal,315,g2g1g0,adev_315_MatchedTemporal,0.41068917018284107,30000
adev,1,default,317,g2,adev_317_default,0.2651195499296765,10000
dev,3,MatchedSpatial,317,g0g1g2,dev_317_MatchedSpatial,0.4338959212376934,30000
adev,1,default,316,g2,adev_316_default,0.25035161744022505,10000
dev,2,MatchedTemporal,316,g0g1,dev_316_MatchedTemporal,0.4338959212376934,20000
adev,2,default,317,g2g1,adev_317_default,0.23347398030942335,20000
dev,3,default,316,g0g1g2,dev_316_default,0.4310829817158931,30000
adev,3,MatchedTemporal,316,g2g1g0,adev_316_MatchedTemporal,0.42616033755274263,30000
dev,3,MatchedTemporal,316,g0g1g2,dev_316_MatchedTemporal,0.41631504922644164,30000
adev,3,MatchedSpatioTemporal,317,g2g1g0,adev_317_MatchedSpatioTemporal,0.43670886075949367,30000
dev,2,MatchedSpatioTemporal,317,g0g1,dev_317_MatchedSpatioTemporal,0.41631504922644164,20000
dev,2,MatchedSpatial,315,g0g1,dev_315_MatchedSpatial,0.43741209563994377,20000
dev,3,MatchedSpatioTemporal,315,g0g1g2,dev_315_MatchedSpatioTemporal,0.4479606188466948,30000
dev,2,default,316,g0g1,dev_316_default,0.4268635724331927,20000
dev,3,MatchedSpatioTemporal,316,g0g1g2,dev_316_MatchedSpatioTemporal,0.45147679324894513,30000
adev,3,default,315,g2g1g0,adev_315_default,0.40014064697609003,30000
adev,2,default,315,g2g1,adev_315_default,0.24753867791842477,20000
adev,3,MatchedSpatial,317,g2g1g0,adev_317_MatchedSpatial,0.44585091420534456,30000
dev,2,MatchedSpatial,316,g0g1,dev_316_MatchedSpatial,0.41631504922644164,20000
dev,2,MatchedSpatioTemporal,315,g0g1,dev_315_MatchedSpatioTemporal,0.4191279887482419,20000
adev,2,MatchedSpatioTemporal,317,g2g1,adev_317_MatchedSpatioTemporal,0.4282700421940928,20000
adev,2,MatchedSpatioTemporal,315,g2g1,adev_315_MatchedSpatioTemporal,0.41350210970464135,20000
dev,1,default,317,g0,dev_317_default,0.40436005625879046,10000
dev,1,MatchedSpatioTemporal,315,g0,dev_315_MatchedSpatioTemporal,0.39029535864978904,10000
adev,1,MatchedTemporal,315,g2,adev_315_MatchedTemporal,0.350210970464135,10000
adev,3,MatchedSpatioTemporal,316,g2g1g0,adev_316_MatchedSpatioTemporal,0.44936708860759494,30000
dev,3,MatchedTemporal,317,g0g1g2,dev_317_MatchedTemporal,0.41068917018284107,30000
adev,3,MatchedTemporal,317,g2g1g0,adev_317_MatchedTemporal,0.4472573839662447,30000
dev,2,MatchedTemporal,315,g0g1,dev_315_MatchedTemporal,0.409985935302391,20000
adev,1,MatchedSpatial,316,g2,adev_316_MatchedSpatial,0.22292545710267228,10000
adev,3,default,317,g2g1g0,adev_317_default,0.1350210970464135,30000
dev,1,MatchedSpatioTemporal,317,g0,dev_317_MatchedSpatioTemporal,0.4029535864978903,10000
dev,1,default,315,g0,dev_315_default,0.42264416315049225,10000
dev,1,default,316,g0,dev_316_default,0.4184247538677918,10000
adev,3,MatchedSpatial,315,g2g1g0,adev_315_MatchedSpatial,0.4444444444444444,30000
dev,1,MatchedTemporal,315,g0,dev_315_MatchedTemporal,0.3952180028129395,10000
dev,1,MatchedTemporal,316,g0,dev_316_MatchedTemporal,0.39732770745428975,10000
dev,3,default,315,g0g1g2,dev_315_default,0.4289732770745429,30000
dev,3,MatchedSpatioTemporal,317,g0g1g2,dev_317_MatchedSpatioTemporal,0.4268635724331927,30000
adev,2,MatchedSpatial,315,g2g1,adev_315_MatchedSpatial,0.40365682137834036,20000
adev,1,MatchedTemporal,316,g2,adev_316_MatchedTemporal,0.3628691983122363,10000
adev,1,MatchedSpatioTemporal,316,g2,adev_316_MatchedSpatioTemporal,0.39029535864978904,10000
dev,2,default,315,g0g1,dev_315_default,0.44233473980309423,20000
dev,2,MatchedTemporal,317,g0g1,dev_317_MatchedTemporal,0.4184247538677918,20000
dev,1,MatchedTemporal,317,g0,dev_317_MatchedTemporal,0.3748241912798875,10000
adev,3,MatchedSpatial,316,g2g1g0,adev_316_MatchedSpatial,0.40365682137834036,30000
adev,1,MatchedSpatioTemporal,315,g2,adev_315_MatchedSpatioTemporal,0.38115330520393814,10000
adev,3,MatchedSpatioTemporal,315,g2g1g0,adev_315_MatchedSpatioTemporal,0.45639943741209565,30000
dev,2,MatchedSpatial,317,g0g1,dev_317_MatchedSpatial,0.4191279887482419,20000
adev,1,MatchedSpatial,317,g2,adev_317_MatchedSpatial,0.2158931082981716,10000
dev,3,MatchedSpatial,315,g0g1g2,dev_315_MatchedSpatial,0.4472573839662447,30000
dev,1,MatchedSpatial,315,g0,dev_315_MatchedSpatial,0.42334739803094235,10000
