Curriculum,Stage,Condition,Seed,Train Groups,data_id,transformation,Iteration
dev,3,MatchedTemporal,315,g0g1g2,dev_315_MatchedTemporal,0.4050632911392405,30000
adev,2,MatchedSpatial,317,g2g1,adev_317_MatchedSpatial,0.5949367088607594,20000
adev,1,MatchedSpatioTemporal,317,g2,adev_317_MatchedSpatioTemporal,0.4015471167369902,10000
adev,2,default,316,g2g1,adev_316_default,0.4360056258790436,20000
adev,1,MatchedSpatial,315,g2,adev_315_MatchedSpatial,0.490154711673699,10000
adev,2,MatchedTemporal,315,g2g1,adev_315_MatchedTemporal,0.41631504922644164,20000
dev,2,default,317,g0g1,dev_317_default,0.6237693389592124,20000
dev,2,MatchedSpatioTemporal,316,g0g1,dev_316_MatchedSpatioTemporal,0.38748241912798875,20000
adev,3,default,316,g2g1g0,adev_316_default,0.5569620253164557,30000
adev,2,MatchedSpatioTemporal,316,g2g1,adev_316_MatchedSpatioTemporal,0.41139240506329117,20000
dev,3,MatchedSpatial,316,g0g1g2,dev_316_MatchedSpatial,0.6821378340365682,30000
adev,2,MatchedSpatial,316,g2g1,adev_316_MatchedSpatial,0.4149085794655415,20000
dev,1,MatchedSpatial,317,g0,dev_317_MatchedSpatial,0.5007032348804501,10000
dev,1,MatchedSpatioTemporal,316,g0,dev_316_MatchedSpatioTemporal,0.37834036568213786,10000
dev,3,default,317,g0g1g2,dev_317_default,0.6511954992967651,30000
dev,1,MatchedSpatial,316,g0,dev_316_MatchedSpatial,0.5583684950773559,10000
adev,1,default,315,g2,adev_315_default,0.459915611814346,10000
adev,2,MatchedTemporal,316,g2g1,adev_316_MatchedTemporal,0.41350210970464135,20000
adev,2,MatchedTemporal,317,g2g1,adev_317_MatchedTemporal,0.4050632911392405,20000
adev,1,MatchedTemporal,317,g2,adev_317_MatchedTemporal,0.3727144866385373,10000
adev,3,MatchedTemporal,315,g2g1g0,adev_315_MatchedTemporal,0.40646976090014064,30000
adev,1,default,317,g2,adev_317_default,0.43670886075949367,10000
dev,3,MatchedSpatial,317,g0g1g2,dev_317_MatchedSpatial,0.6582278481012658,30000
adev,1,default,316,g2,adev_316_default,0.4388185654008439,10000
dev,2,MatchedTemporal,316,g0g1,dev_316_MatchedTemporal,0.40646976090014064,20000
adev,2,default,317,g2g1,adev_317_default,0.4542897327707454,20000
dev,3,default,316,g0g1g2,dev_316_default,0.6490857946554149,30000
adev,3,MatchedTemporal,316,g2g1g0,adev_316_MatchedTemporal,0.39451476793248946,30000
dev,3,MatchedTemporal,316,g0g1g2,dev_316_MatchedTemporal,0.4240506329113924,30000
adev,3,MatchedSpatioTemporal,317,g2g1g0,adev_317_MatchedSpatioTemporal,0.4029535864978903,30000
dev,2,MatchedSpatioTemporal,317,g0g1,dev_317_MatchedSpatioTemporal,0.3748241912798875,20000
dev,2,MatchedSpatial,315,g0g1,dev_315_MatchedSpatial,0.6216596343178622,20000
dev,3,MatchedSpatioTemporal,315,g0g1g2,dev_315_MatchedSpatioTemporal,0.4149085794655415,30000
dev,2,default,316,g0g1,dev_316_default,0.6251758087201125,20000
dev,3,MatchedSpatioTemporal,316,g0g1g2,dev_316_MatchedSpatioTemporal,0.4142053445850914,30000
adev,3,default,315,g2g1g0,adev_315_default,0.5295358649789029,30000
adev,2,default,315,g2g1,adev_315_default,0.4472573839662447,20000
adev,3,MatchedSpatial,317,g2g1g0,adev_317_MatchedSpatial,0.6033755274261603,30000
dev,2,MatchedSpatial,316,g0g1,dev_316_MatchedSpatial,0.6511954992967651,20000
