Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
dev,3,MatchedTemporal,315,g0g1g2,dev_315_MatchedTemporal,0.47008938803575523,30000
adev,2,MatchedSpatial,317,g2g1,adev_317_MatchedSpatial,0.38261669349275695,20000
adev,1,MatchedSpatioTemporal,317,g2,adev_317_MatchedSpatioTemporal,0.370956641431521,10000
adev,2,default,316,g2g1,adev_316_default,0.14755228683061367,20000
adev,1,MatchedSpatial,315,g2,adev_315_MatchedSpatial,0.2162534435261708,10000
adev,2,MatchedTemporal,315,g2g1,adev_315_MatchedTemporal,0.4039917412250516,20000
dev,2,default,317,g0g1,dev_317_default,0.4102974828375286,20000
dev,2,MatchedSpatioTemporal,316,g0g1,dev_316_MatchedSpatioTemporal,0.4745646196150321,20000
adev,3,default,316,g2g1g0,adev_316_default,0.38526847177604406,30000
adev,2,MatchedSpatioTemporal,316,g2g1,adev_316_MatchedSpatioTemporal,0.4547537227949599,20000
dev,3,MatchedSpatial,316,g0g1g2,dev_316_MatchedSpatial,0.488659793814433,30000
adev,2,MatchedSpatial,316,g2g1,adev_316_MatchedSpatial,0.1497362990139876,20000
dev,1,MatchedSpatial,317,g0,dev_317_MatchedSpatial,0.29203945859142005,10000
dev,1,MatchedSpatioTemporal,316,g0,dev_316_MatchedSpatioTemporal,0.4242216117216117,10000
dev,3,default,317,g0g1g2,dev_317_default,0.4499080882352941,30000
dev,1,MatchedSpatial,316,g0,dev_316_MatchedSpatial,0.39761522586562714,10000
adev,1,default,315,g2,adev_315_default,0.15948670944087992,10000
adev,2,MatchedTemporal,316,g2g1,adev_316_MatchedTemporal,0.403070577451879,20000
adev,2,MatchedTemporal,317,g2g1,adev_317_MatchedTemporal,0.42041284403669726,20000
adev,1,MatchedTemporal,317,g2,adev_317_MatchedTemporal,0.35311640696608615,10000
adev,3,MatchedTemporal,315,g2g1g0,adev_315_MatchedTemporal,0.4613797845519138,30000
adev,1,default,317,g2,adev_317_default,0.15776198119697318,10000
