Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
rnd,2,default,284,na,rnd_284_default,0.318,20000
adev,2,default,282,g2g1,adev_282_default,0.242,20000
dev,2,default,283,g0g1,dev_283_default,0.386,20000
rnd,1,default,282,na,rnd_282_default,0.313,10000
dev,1,default,284,g0,dev_284_default,0.317,10000
adev,1,default,284,g2,adev_284_default,0.242,10000
adev,3,default,284,g2g1g0,adev_284_default,0.325,30000
rnd,2,default,283,na,rnd_283_default,0.124,20000
untrained,0,na,0,na,untrained_0_na,0.244,0
adult,3,default,283,na,adult_283_default,0.378,30000
dev,2,default,284,g0g1,dev_284_default,0.42,20000
dev,2,default,282,g0g1,dev_282_default,0.372,20000
adult,1,default,283,na,adult_283_default,0.246,10000
dev,3,default,283,g0g1g2,dev_283_default,0.423,30000
dev,3,default,282,g0g1g2,dev_282_default,0.428,30000
adult,1,default,284,na,adult_284_default,0.277,10000
rnd,1,default,283,na,rnd_283_default,0.245,10000
adev,2,default,283,g2g1,adev_283_default,0.218,20000
adult,3,default,282,na,adult_282_default,0.321,30000
adult,2,default,283,na,adult_283_default,0.292,20000
adult,3,default,284,na,adult_284_default,0.378,30000
adev,3,default,283,g2g1g0,adev_283_default,0.315,30000
adev,1,default,283,g2,adev_283_default,0.234,10000
adult,2,default,284,na,adult_284_default,0.304,20000
adult,1,default,282,na,adult_282_default,0.204,10000
rnd,3,default,284,na,rnd_284_default,0.395,30000
rnd,2,default,282,na,rnd_282_default,0.361,20000
adev,1,default,282,g2,adev_282_default,0.198,10000
adev,3,default,282,g2g1g0,adev_282_default,0.345,30000
dev,3,default,284,g0g1g2,dev_284_default,0.434,30000
adev,2,default,284,g2g1,adev_284_default,0.25,20000
adult,2,default,282,na,adult_282_default,0.214,20000
rnd,3,default,283,na,rnd_283_default,0.31,30000
rnd,1,default,284,na,rnd_284_default,0.249,10000
dev,1,default,283,g0,dev_283_default,0.292,10000
rnd,3,default,282,na,rnd_282_default,0.421,30000
dev,1,default,282,g0,dev_282_default,0.324,10000
