Curriculum,Stage,Condition,Seed,Train Groups,data_id,Top1,Top5,Top10,Iteration
rnd,2,default,284,na,rnd_284_default,0.18,0.526,0.725,20000
adev,2,default,282,g2g1,adev_282_default,0.1,0.418,0.642,20000
dev,2,default,283,g0g1,dev_283_default,0.227,0.583,0.751,20000
rnd,1,default,282,na,rnd_282_default,0.141,0.466,0.677,10000
dev,1,default,284,g0,dev_284_default,0.163,0.495,0.695,10000
adev,1,default,284,g2,adev_284_default,0.106,0.423,0.646,10000
adev,3,default,284,g2g1g0,adev_284_default,0.177,0.515,0.711,30000
rnd,2,default,283,na,rnd_283_default,0.108,0.392,0.642,20000
untrained,0,na,0,na,untrained_0_na,0.101,0.42,0.644,0
adult,3,default,283,na,adult_283_default,0.201,0.562,0.759,30000
dev,2,default,284,g0g1,dev_284_default,0.212,0.587,0.75,20000
dev,2,default,282,g0g1,dev_282_default,0.201,0.573,0.752,20000
adult,1,default,283,na,adult_283_default,0.108,0.432,0.641,10000
dev,3,default,283,g0g1g2,dev_283_default,0.203,0.594,0.765,30000
dev,3,default,282,g0g1g2,dev_282_default,0.224,0.596,0.762,30000
adult,1,default,284,na,adult_284_default,0.115,0.429,0.645,10000
rnd,1,default,283,na,rnd_283_default,0.101,0.431,0.643,10000
adev,2,default,283,g2g1,adev_283_default,0.101,0.421,0.64,20000
adult,3,default,282,na,adult_282_default,0.168,0.504,0.697,30000
adult,2,default,283,na,adult_283_default,0.129,0.433,0.67,20000
adult,3,default,284,na,adult_284_default,0.204,0.569,0.764,30000
adev,3,default,283,g2g1g0,adev_283_default,0.17,0.517,0.707,30000
adev,1,default,283,g2,adev_283_default,0.105,0.431,0.65,10000
adult,2,default,284,na,adult_284_default,0.193,0.535,0.732,20000
adult,1,default,282,na,adult_282_default,0.091,0.426,0.644,10000
rnd,3,default,284,na,rnd_284_default,0.224,0.615,0.768,30000
rnd,2,default,282,na,rnd_282_default,0.208,0.559,0.737,20000
adev,1,default,282,g2,adev_282_default,0.091,0.426,0.632,10000
adev,3,default,282,g2g1g0,adev_282_default,0.184,0.522,0.699,30000
dev,3,default,284,g0g1g2,dev_284_default,0.227,0.598,0.788,30000
adev,2,default,284,g2g1,adev_284_default,0.12,0.424,0.635,20000
adult,2,default,282,na,adult_282_default,0.107,0.413,0.658,20000
rnd,3,default,283,na,rnd_283_default,0.158,0.483,0.687,30000
rnd,1,default,284,na,rnd_284_default,0.108,0.438,0.645,10000
dev,1,default,283,g0,dev_283_default,0.14,0.456,0.673,10000
rnd,3,default,282,na,rnd_282_default,0.239,0.581,0.764,30000
dev,1,default,282,g0,dev_282_default,0.144,0.495,0.686,10000
