Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
rnd,2,default,284,na,rnd_284_default,0.25,20000
adev,2,default,282,g2g1,adev_282_default,0.1638888888888889,20000
dev,2,default,283,g0g1,dev_283_default,0.23333333333333334,20000
rnd,1,default,282,na,rnd_282_default,0.22361111111111112,10000
dev,1,default,284,g0,dev_284_default,0.24027777777777778,10000
adev,1,default,284,g2,adev_284_default,0.16875,10000
adev,3,default,284,g2g1g0,adev_284_default,0.20277777777777778,30000
rnd,2,default,283,na,rnd_283_default,0.15208333333333332,20000
untrained,0,na,0,na,untrained_0_na,0.18472222222222223,0
adult,3,default,283,na,adult_283_default,0.2222222222222222,30000
dev,2,default,284,g0g1,dev_284_default,0.2875,20000
dev,2,default,282,g0g1,dev_282_default,0.27708333333333335,20000
adult,1,default,283,na,adult_283_default,0.16597222222222222,10000
dev,3,default,283,g0g1g2,dev_283_default,0.28125,30000
dev,3,default,282,g0g1g2,dev_282_default,0.2722222222222222,30000
adult,1,default,284,na,adult_284_default,0.19791666666666666,10000
rnd,1,default,283,na,rnd_283_default,0.1625,10000
adev,2,default,283,g2g1,adev_283_default,0.18472222222222223,20000
adult,3,default,282,na,adult_282_default,0.19444444444444445,30000
adult,2,default,283,na,adult_283_default,0.21041666666666667,20000
adult,3,default,284,na,adult_284_default,0.26458333333333334,30000
adev,3,default,283,g2g1g0,adev_283_default,0.22361111111111112,30000
adev,1,default,283,g2,adev_283_default,0.1638888888888889,10000
adult,2,default,284,na,adult_284_default,0.22291666666666668,20000
adult,1,default,282,na,adult_282_default,0.1875,10000
rnd,3,default,284,na,rnd_284_default,0.22847222222222222,30000
rnd,2,default,282,na,rnd_282_default,0.24513888888888888,20000
adev,1,default,282,g2,adev_282_default,0.18819444444444444,10000
adev,3,default,282,g2g1g0,adev_282_default,0.22013888888888888,30000
dev,3,default,284,g0g1g2,dev_284_default,0.30625,30000
adev,2,default,284,g2g1,adev_284_default,0.16111111111111112,20000
adult,2,default,282,na,adult_282_default,0.17291666666666666,20000
rnd,3,default,283,na,rnd_283_default,0.2076388888888889,30000
rnd,1,default,284,na,rnd_284_default,0.12916666666666668,10000
dev,1,default,283,g0,dev_283_default,0.19652777777777777,10000
rnd,3,default,282,na,rnd_282_default,0.20902777777777778,30000
dev,1,default,282,g0,dev_282_default,0.22361111111111112,10000
