Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
rnd,2,default,284,na,rnd_284_default,0.4008438818565401,20000
adev,2,default,282,g2g1,adev_282_default,0.2630098452883263,20000
dev,2,default,283,g0g1,dev_283_default,0.40436005625879046,20000
rnd,1,default,282,na,rnd_282_default,0.3832630098452883,10000
dev,1,default,284,g0,dev_284_default,0.38045007032348804,10000
adev,1,default,284,g2,adev_284_default,0.24753867791842477,10000
adev,3,default,284,g2g1g0,adev_284_default,0.41350210970464135,30000
rnd,2,default,283,na,rnd_283_default,0.14978902953586498,20000
untrained,0,na,0,na,untrained_0_na,0.279887482419128,0
adult,3,default,283,na,adult_283_default,0.4085794655414909,30000
dev,2,default,284,g0g1,dev_284_default,0.4360056258790436,20000
dev,2,default,282,g0g1,dev_282_default,0.4282700421940928,20000
adult,1,default,283,na,adult_283_default,0.2939521800281294,10000
dev,3,default,283,g0g1g2,dev_283_default,0.4184247538677918,30000
dev,3,default,282,g0g1g2,dev_282_default,0.42545710267229253,30000
adult,1,default,284,na,adult_284_default,0.339662447257384,10000
rnd,1,default,283,na,rnd_283_default,0.2742616033755274,10000
adev,2,default,283,g2g1,adev_283_default,0.26582278481012656,20000
adult,3,default,282,na,adult_282_default,0.35864978902953587,30000
adult,2,default,283,na,adult_283_default,0.37834036568213786,20000
adult,3,default,284,na,adult_284_default,0.42616033755274263,30000
adev,3,default,283,g2g1g0,adev_283_default,0.41631504922644164,30000
adev,1,default,283,g2,adev_283_default,0.27285513361462727,10000
adult,2,default,284,na,adult_284_default,0.3909985935302391,20000
adult,1,default,282,na,adult_282_default,0.29043600562587907,10000
rnd,3,default,284,na,rnd_284_default,0.4247538677918425,30000
rnd,2,default,282,na,rnd_282_default,0.3987341772151899,20000
adev,1,default,282,g2,adev_282_default,0.2609001406469761,10000
adev,3,default,282,g2g1g0,adev_282_default,0.4289732770745429,30000
dev,3,default,284,g0g1g2,dev_284_default,0.4345991561181435,30000
adev,2,default,284,g2g1,adev_284_default,0.2819971870604782,20000
adult,2,default,282,na,adult_282_default,0.24542897327707455,20000
rnd,3,default,283,na,rnd_283_default,0.39451476793248946,30000
rnd,1,default,284,na,rnd_284_default,0.279887482419128,10000
dev,1,default,283,g0,dev_283_default,0.4092827004219409,10000
rnd,3,default,282,na,rnd_282_default,0.4479606188466948,30000
dev,1,default,282,g0,dev_282_default,0.3952180028129395,10000
