Curriculum,Stage,Condition,Seed,Train Groups,data_id,transformation,Iteration
rnd,2,default,284,na,rnd_284_default,0.5330520393811533,20000
adev,2,default,282,g2g1,adev_282_default,0.450070323488045,20000
dev,2,default,283,g0g1,dev_283_default,0.6343178621659634,20000
rnd,1,default,282,na,rnd_282_default,0.5063291139240507,10000
dev,1,default,284,g0,dev_284_default,0.5267229254571026,10000
adev,1,default,284,g2,adev_284_default,0.41983122362869196,10000
adev,3,default,284,g2g1g0,adev_284_default,0.5365682137834037,30000
rnd,2,default,283,na,rnd_283_default,0.3621659634317862,20000
untrained,0,na,0,na,untrained_0_na,0.4606188466947961,0
adult,3,default,283,na,adult_283_default,0.5942334739803095,30000
dev,2,default,284,g0g1,dev_284_default,0.6315049226441631,20000
dev,2,default,282,g0g1,dev_282_default,0.6230661040787623,20000
adult,1,default,283,na,adult_283_default,0.42264416315049225,10000
dev,3,default,283,g0g1g2,dev_283_default,0.6631504922644164,30000
dev,3,default,282,g0g1g2,dev_282_default,0.6687763713080169,30000
adult,1,default,284,na,adult_284_default,0.46272855133614627,10000
rnd,1,default,283,na,rnd_283_default,0.4542897327707454,10000
adev,2,default,283,g2g1,adev_283_default,0.4388185654008439,20000
adult,3,default,282,na,adult_282_default,0.5232067510548524,30000
adult,2,default,283,na,adult_283_default,0.48945147679324896,20000
adult,3,default,284,na,adult_284_default,0.6392405063291139,30000
adev,3,default,283,g2g1g0,adev_283_default,0.5583684950773559,30000
adev,1,default,283,g2,adev_283_default,0.43037974683544306,10000
adult,2,default,284,na,adult_284_default,0.5471167369901547,20000
adult,1,default,282,na,adult_282_default,0.45288326300984527,10000
rnd,3,default,284,na,rnd_284_default,0.6244725738396625,30000
rnd,2,default,282,na,rnd_282_default,0.5654008438818565,20000
adev,1,default,282,g2,adev_282_default,0.44866385372714485,10000
adev,3,default,282,g2g1g0,adev_282_default,0.5506329113924051,30000
dev,3,default,284,g0g1g2,dev_284_default,0.6673699015471167,30000
adev,2,default,284,g2g1,adev_284_default,0.4430379746835443,20000
adult,2,default,282,na,adult_282_default,0.43037974683544306,20000
rnd,3,default,283,na,rnd_283_default,0.5323488045007032,30000
rnd,1,default,284,na,rnd_284_default,0.43741209563994377,10000
dev,1,default,283,g0,dev_283_default,0.5119549929676512,10000
rnd,3,default,282,na,rnd_282_default,0.6406469760900141,30000
dev,1,default,282,g0,dev_282_default,0.519690576652602,10000
