Curriculum,Stage,Condition,Seed,Train Groups,data_id,transformation,Iteration
rnd,2,default,284,na,rnd_284_default,0.5562587904360057,20000
adev,2,default,282,g2g1,adev_282_default,0.4317862165963432,20000
dev,2,default,283,g0g1,dev_283_default,0.6385372714486639,20000
rnd,1,default,282,na,rnd_282_default,0.5049226441631505,10000
dev,1,default,284,g0,dev_284_default,0.5443037974683544,10000
adev,1,default,284,g2,adev_284_default,0.4732770745428973,10000
adev,3,default,284,g2g1g0,adev_284_default,0.5569620253164557,30000
rnd,2,default,283,na,rnd_283_default,0.3438818565400844,20000
untrained,0,na,0,na,untrained_0_na,0.4578059071729958,0
adult,3,default,283,na,adult_283_default,0.5907172995780591,30000
dev,2,default,284,g0g1,dev_284_default,0.6455696202531646,20000
dev,2,default,282,g0g1,dev_282_default,0.6111111111111112,20000
adult,1,default,283,na,adult_283_default,0.45147679324894513,10000
dev,3,default,283,g0g1g2,dev_283_default,0.6413502109704642,30000
dev,3,default,282,g0g1g2,dev_282_default,0.670182841068917,30000
adult,1,default,284,na,adult_284_default,0.47538677918424754,10000
rnd,1,default,283,na,rnd_283_default,0.4345991561181435,10000
adev,2,default,283,g2g1,adev_283_default,0.44866385372714485,20000
adult,3,default,282,na,adult_282_default,0.5210970464135021,30000
adult,2,default,283,na,adult_283_default,0.4866385372714487,20000
adult,3,default,284,na,adult_284_default,0.6385372714486639,30000
adev,3,default,283,g2g1g0,adev_283_default,0.5464135021097046,30000
adev,1,default,283,g2,adev_283_default,0.43670886075949367,10000
adult,2,default,284,na,adult_284_default,0.5478199718706048,20000
adult,1,default,282,na,adult_282_default,0.44585091420534456,10000
rnd,3,default,284,na,rnd_284_default,0.6132208157524613,30000
rnd,2,default,282,na,rnd_282_default,0.5879043600562588,20000
adev,1,default,282,g2,adev_282_default,0.4381153305203938,10000
adev,3,default,282,g2g1g0,adev_282_default,0.560478199718706,30000
dev,3,default,284,g0g1g2,dev_284_default,0.6659634317862166,30000
adev,2,default,284,g2g1,adev_284_default,0.44022503516174405,20000
adult,2,default,282,na,adult_282_default,0.4381153305203938,20000
rnd,3,default,283,na,rnd_283_default,0.5154711673699015,30000
rnd,1,default,284,na,rnd_284_default,0.43248945147679324,10000
dev,1,default,283,g0,dev_283_default,0.5126582278481012,10000
rnd,3,default,282,na,rnd_282_default,0.6413502109704642,30000
dev,1,default,282,g0,dev_282_default,0.5168776371308017,10000
