Curriculum,Stage,Condition,Seed,Train Groups,data_id,Top1,Top5,Top10,Iteration
rnd,2,default,284,na,rnd_284_default,0.2157852777039596,0.3422800956683497,0.42598990167419615,20000
adev,2,default,282,g2g1,adev_282_default,0.10749533208855695,0.20325420112029874,0.27527340624166446,20000
dev,2,default,283,g0g1,dev_283_default,0.22260730471874166,0.357504665422554,0.4382831245001333,20000
rnd,1,default,282,na,rnd_282_default,0.156951871657754,0.26844919786096255,0.34893048128342247,10000
dev,1,default,284,g0,dev_284_default,0.1950894048572191,0.32532692820923403,0.40058713637576726,10000
adev,1,default,284,g2,adev_284_default,0.10837570243510837,0.19962536794219962,0.2702702702702703,10000
adev,3,default,284,g2g1g0,adev_284_default,0.2025586353944563,0.3336886993603412,0.4115138592750533,30000
rnd,2,default,283,na,rnd_283_default,0.09076390737290391,0.17301038062283736,0.24461006121905776,20000
untrained,0,na,0,na,untrained_0_na,0.10673409635347351,0.2001597018898057,0.26856534468991217,0
adult,3,default,283,na,adult_283_default,0.216,0.35013333333333335,0.44026666666666664,30000
dev,2,default,284,g0g1,dev_284_default,0.2232880362376765,0.3701039168665068,0.458566480149214,20000
dev,2,default,282,g0g1,dev_282_default,0.22216288384512684,0.36315086782376504,0.45313751668891855,20000
adult,1,default,283,na,adult_283_default,0.10992529348986126,0.2003735325506937,0.2708110992529349,10000
dev,3,default,283,g0g1g2,dev_283_default,0.23886963476406292,0.39696081045054654,0.4852039456145028,30000
dev,3,default,282,g0g1g2,dev_282_default,0.23615548455804047,0.3801916932907348,0.4826943556975506,30000
adult,1,default,284,na,adult_284_default,0.15357998402981102,0.25046579717859996,0.33005057226510515,10000
rnd,1,default,283,na,rnd_283_default,0.10835334934614359,0.19722444622364557,0.2714171337069656,10000
adev,2,default,283,g2g1,adev_283_default,0.10912486659551761,0.20597652081109924,0.2756136606189968,20000
adult,3,default,282,na,adult_282_default,0.1923895689196381,0.30282064928153274,0.37998935604044703,30000
adult,2,default,283,na,adult_283_default,0.17005347593582887,0.27754010695187165,0.3473262032085562,20000
adult,3,default,284,na,adult_284_default,0.24286856838176485,0.37589976006398296,0.4598773660357238,30000
adev,3,default,283,g2g1g0,adev_283_default,0.21287919105907396,0.33315593400745075,0.4065992549228313,30000
adev,1,default,283,g2,adev_283_default,0.10701894849212704,0.20202828929810515,0.27061649319455566,10000
adult,2,default,284,na,adult_284_default,0.19941348973607037,0.3268461743535057,0.4089576113036524,20000
adult,1,default,282,na,adult_282_default,0.105923159018143,0.20490928495197439,0.2724119530416222,10000
rnd,3,default,284,na,rnd_284_default,0.24360341151385928,0.3805970149253731,0.46828358208955223,30000
rnd,2,default,282,na,rnd_282_default,0.21323725647184413,0.3450760608486789,0.4352815585801975,20000
adev,1,default,282,g2,adev_282_default,0.10572569906790945,0.20372836218375498,0.27030625832223704,10000
adev,3,default,282,g2g1g0,adev_282_default,0.20941990420436402,0.3265034592868547,0.4068653539116551,30000
dev,3,default,284,g0g1g2,dev_284_default,0.25073352894105094,0.3979727927447319,0.48813016804481196,30000
adev,2,default,284,g2g1,adev_284_default,0.10255727224294087,0.20378263185935003,0.2762386787426745,20000
adult,2,default,282,na,adult_282_default,0.10290589176219675,0.1956811516928819,0.2625966408957611,20000
rnd,3,default,283,na,rnd_283_default,0.18835158963398344,0.30483569329414906,0.3833823136521507,30000
rnd,1,default,284,na,rnd_284_default,0.11063829787234042,0.20611702127659576,0.26861702127659576,10000
dev,1,default,283,g0,dev_283_default,0.18798397863818425,0.3041388518024032,0.3789052069425901,10000
rnd,3,default,282,na,rnd_282_default,0.25246600906424954,0.3964276193015196,0.4793388429752066,30000
dev,1,default,282,g0,dev_282_default,0.19557687183586464,0.31095123900879296,0.3876898481215028,10000
