Curriculum,Epoch,Iteration,Train Loss,Validation Loss
Anti-Dev. (g2-g1-g0),1,1000,0.9963,0.9918
Anti-Dev. (g2-g1-g0),2,2000,0.9943,0.9916
Anti-Dev. (g2-g1-g0),3,3000,0.9942,0.9915
Anti-Dev. (g2-g1-g0),4,4000,0.9941,0.9916
Anti-Dev. (g2-g1-g0),5,5000,0.9941,0.9916
Dev. (g0-g1-g2),1,1000,0.9966,0.9855
Dev. (g0-g1-g2),2,2000,0.9938,0.983
Dev. (g0-g1-g2),3,3000,0.9873,0.9575
Dev. (g0-g1-g2),4,4000,0.9733,0.9416
Dev. (g0-g1-g2),5,5000,0.9566,0.9264
Dev. (g0-g1-g2),1,1000,0.9966,0.9832
Dev. (g0-g1-g2),2,2000,0.9937,0.9831
Dev. (g0-g1-g2),3,3000,0.987,0.9652
Dev. (g0-g1-g2),4,4000,0.97,0.9313
Dev. (g0-g1-g2),5,5000,0.9544,0.923
Dev. (g0-g1-g2),1,1000,0.9967,0.9837
Dev. (g0-g1-g2),2,2000,0.9937,0.9857
Dev. (g0-g1-g2),3,3000,0.9863,0.9593
Dev. (g0-g1-g2),4,4000,0.9696,0.9318
Dev. (g0-g1-g2),5,5000,0.9543,0.923
Anti-Dev. (g2-g1-g0),1,1000,0.9962,0.9921
Anti-Dev. (g2-g1-g0),2,2000,0.9943,0.9916
Anti-Dev. (g2-g1-g0),3,3000,0.9942,0.9915
Anti-Dev. (g2-g1-g0),4,4000,0.9941,0.9915
Anti-Dev. (g2-g1-g0),5,5000,0.9941,0.9916
Adult (adult-g1-g2),1,1000,0.9989,0.9921
Adult (adult-g1-g2),2,2000,0.997,0.9926
Adult (adult-g1-g2),3,3000,0.9968,0.9926
Adult (adult-g1-g2),4,4000,0.9967,0.9927
Adult (adult-g1-g2),5,5000,0.9966,0.9915
Adult (adult-g1-g2),1,1000,0.999,0.9928
Adult (adult-g1-g2),2,2000,0.997,0.9927
Adult (adult-g1-g2),3,3000,0.9968,0.9928
Adult (adult-g1-g2),4,4000,0.9967,0.9917
Adult (adult-g1-g2),5,5000,0.9966,0.9919
Random (rand-rand-rand),1,1000,0.9957,0.9915
Random (rand-rand-rand),2,2000,0.9936,0.9912
Random (rand-rand-rand),3,3000,0.9932,0.9903
Random (rand-rand-rand),4,4000,0.9907,0.9823
Random (rand-rand-rand),5,5000,0.9847,0.9809
Random (rand-rand-rand),1,1000,0.9969,0.9896
Random (rand-rand-rand),2,2000,0.9949,0.9891
Random (rand-rand-rand),3,3000,0.9947,0.99
Random (rand-rand-rand),4,4000,0.9946,0.9907
Random (rand-rand-rand),5,5000,0.9945,0.9898
Random (rand-rand-rand),1,1000,0.9954,0.9904
Random (rand-rand-rand),2,2000,0.9933,0.9902
Random (rand-rand-rand),3,3000,0.993,0.9911
Random (rand-rand-rand),4,4000,0.9925,0.9897
Random (rand-rand-rand),5,5000,0.9899,0.9797
Anti-Dev. (g2-g1-g0),1,1000,0.9963,0.9918
Anti-Dev. (g2-g1-g0),2,2000,0.9943,0.9916
Anti-Dev. (g2-g1-g0),3,3000,0.9942,0.9917
Anti-Dev. (g2-g1-g0),4,4000,0.9941,0.9916
Anti-Dev. (g2-g1-g0),5,5000,0.9941,0.9916
Random (rand-rand-rand),6,6000,0.9944,0.9885
Random (rand-rand-rand),7,7000,0.9941,0.9871
Random (rand-rand-rand),8,8000,0.9928,0.9748
Random (rand-rand-rand),9,9000,0.9842,0.9596
Random (rand-rand-rand),10,10000,0.9739,0.9533
Dev. (g0-g1-g2),6,6000,0.9578,0.9621
Dev. (g0-g1-g2),7,7000,0.9405,0.9501
Dev. (g0-g1-g2),8,8000,0.93,0.9435
Dev. (g0-g1-g2),9,9000,0.9236,0.9388
Dev. (g0-g1-g2),10,10000,0.9179,0.9342
Adult (adult-g1-g2),6,6000,0.9942,0.9924
Adult (adult-g1-g2),7,7000,0.9935,0.9918
Adult (adult-g1-g2),8,8000,0.9866,0.9851
Adult (adult-g1-g2),9,9000,0.9743,0.9791
Adult (adult-g1-g2),10,10000,0.9706,0.9763
Oldest Only (g2-g2-g2),6,6000,0.9941,0.9915
Oldest Only (g2-g2-g2),7,7000,0.994,0.9915
Oldest Only (g2-g2-g2),8,8000,0.994,0.9916
Oldest Only (g2-g2-g2),9,9000,0.994,0.9915
Oldest Only (g2-g2-g2),10,10000,0.994,0.9916
Random (rand-rand-rand),6,6000,0.9805,0.9664
Random (rand-rand-rand),7,7000,0.9711,0.9617
Random (rand-rand-rand),8,8000,0.9641,0.9559
Random (rand-rand-rand),9,9000,0.9542,0.9404
Random (rand-rand-rand),10,10000,0.9387,0.925
Anti-Dev. (g2-g1-g0),6,6000,0.9946,0.9924
Anti-Dev. (g2-g1-g0),7,7000,0.9945,0.9925
Anti-Dev. (g2-g1-g0),8,8000,0.9945,0.9923
Anti-Dev. (g2-g1-g0),9,9000,0.9944,0.9922
